0,CombatZoneResize,133,251,508,391,TLResume,
0,HeartTeleport,320,376,,,,
0,HeartMode,1,,,,,
0,TLPause,,,,,,
0,SansText,Upload video,,,,,,,
2.33333,BoneV,128,366,20,0,300,0
2.2,BoneV,503,286,100,2,300,1
2.23333,BoneV,503,366,20,2,300,0
0.5,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0.5,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0.93333,BoneV,128,366,20,0,300,0
0.4,BoneV,128,286,100,0,300,1
0.33333,BoneV,128,366,20,0,300,0
0.4,BoneV,128,286,100,0,300,1
0.4,BoneV,128,286,100,0,300,1
0.4,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
0.1,BoneV,128,286,100,0,300,1
3.3,BoneStab,1,3,0.16666,1,,,,
1.66666,EndAttack,,,,,,
